Degree,Specialization,CGPA,JobRole,Programming,Internship,Projects,Certification,ProblemSolving
B.Tech,Finance,6.01,Business Analyst,Java,No,0,Yes,Low
BCA,IT,8.07,Cloud Engineer,Java,Yes,3,Yes,Medium
M.Sc,IT,6.79,Support Engineer,Java,No,0,Yes,Low
B.Tech,CSE,9.01,Software Developer,Java,Yes,4,No,High
BBA,Electronics,7.41,Support Engineer,C++,No,3,Yes,Medium
B.Sc,IT,6.45,Support Engineer,Java,No,1,No,Low
MBA,IT,7.46,Support Engineer,Java,No,3,No,Medium
BCA,Business Analytics,9.88,Business Analyst,Java,Yes,4,Yes,High
M.Sc,Data Science,8.27,Data Scientist,Python,Yes,2,Yes,Medium
BCA,Data Science,6.12,Business Analyst,Python,No,0,Yes,Low
MBA,AI,7.5,Data Scientist,Python,Yes,2,Yes,Medium
M.Tech,Finance,8.86,Business Analyst,C++,Yes,5,No,High
MCA,Information Security,6.51,Support Engineer,Python,No,0,Yes,Low
B.Tech,AI,8.2,AI Engineer,Python,Yes,2,Yes,Medium
B.Sc,Data Science,8.32,Data Scientist,Python,Yes,3,Yes,Medium
MCA,AI,9.83,AI Engineer,Python,Yes,3,Yes,High
MBA,Information Security,8.42,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BBA,Electronics,9.06,Cloud Engineer,C++,Yes,3,Yes,High
M.Tech,Business Analytics,9.19,Business Analyst,Java,Yes,5,No,High
MBA,Cyber Security,8.7,Cyber Security Analyst,Python,Yes,3,Yes,High
B.Tech,IT,8.27,Cloud Engineer,Python,Yes,2,No,Medium
M.Tech,IT,6.54,Support Engineer,Python,No,0,No,Low
B.Sc,Information Security,9.72,Cyber Security Analyst,Python,Yes,3,Yes,High
BCA,Machine Learning,8.73,AI Engineer,Python,Yes,5,Yes,High
MBA,Finance,7.65,Business Analyst,C++,Yes,3,Yes,Medium
MBA,Information Security,7.82,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BCA,Machine Learning,8.18,Data Scientist,Python,Yes,2,Yes,Medium
MCA,Information Security,9.74,Cyber Security Analyst,Python,Yes,4,No,High
M.Tech,Machine Learning,8.43,AI Engineer,Python,Yes,2,Yes,Medium
M.Tech,Information Security,8.9,Cyber Security Analyst,Python,Yes,4,Yes,High
B.Sc,Machine Learning,7.57,Data Scientist,Python,Yes,3,Yes,Medium
MCA,Data Science,7.67,Business Analyst,Python,Yes,2,Yes,Medium
B.Sc,Software Engineering,6.43,DevOps Engineer,Java,No,1,No,Low
M.Tech,Finance,7.13,Business Analyst,C++,No,3,No,Medium
B.Sc,Software Engineering,6.54,DevOps Engineer,Java,No,1,Yes,Low
M.Sc,Software Engineering,9.27,Software Developer,Java,Yes,5,No,High
B.Tech,Data Science,9.95,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Business Analytics,6.03,Business Analyst,C++,No,0,Yes,Low
BBA,IT,8.39,Cloud Engineer,C++,Yes,3,Yes,Medium
BCA,AI,8.09,AI Engineer,Python,Yes,2,Yes,Medium
BBA,Information Security,9.53,Cyber Security Analyst,Python,Yes,3,Yes,High
MCA,Business Analytics,8.29,Business Analyst,Java,Yes,2,No,Medium
M.Tech,Software Engineering,9.67,Software Developer,Java,Yes,4,Yes,High
BBA,Data Science,8.1,Data Scientist,Python,Yes,3,Yes,Medium
B.Tech,Business Analytics,6.6,Business Analyst,C++,No,1,No,Low
MBA,Electronics,9.07,Cloud Engineer,C++,Yes,4,Yes,High
B.Tech,Machine Learning,6.88,Data Scientist,Python,No,1,Yes,Low
BCA,Data Science,6.83,Business Analyst,Python,No,1,Yes,Low
BBA,Machine Learning,7.72,Data Scientist,Python,Yes,2,Yes,Medium
M.Sc,IT,7.81,Support Engineer,Java,Yes,2,No,Medium
BCA,AI,7.84,AI Engineer,Python,Yes,3,Yes,Medium
BCA,Cyber Security,9.12,Cyber Security Analyst,Python,Yes,5,Yes,High
BBA,AI,8.5,AI Engineer,Python,Yes,3,Yes,High
BCA,Electronics,9.21,Cloud Engineer,C++,Yes,5,No,High
M.Tech,Software Engineering,9.97,Software Developer,Java,Yes,3,Yes,High
M.Sc,Information Security,7.7,Cyber Security Analyst,Python,Yes,2,No,Medium
M.Sc,CSE,7.61,DevOps Engineer,Java,Yes,2,No,Medium
M.Tech,Machine Learning,8.78,AI Engineer,Python,Yes,4,Yes,High
M.Tech,Electronics,7.05,Support Engineer,Python,No,3,Yes,Medium
M.Sc,IT,8.59,Cloud Engineer,Python,Yes,4,Yes,High
MCA,Business Analytics,9.55,Business Analyst,Java,Yes,3,No,High
MBA,Machine Learning,6.87,Data Scientist,Python,No,1,Yes,Low
B.Sc,Data Science,8.87,Data Scientist,Python,Yes,3,Yes,High
MCA,Data Science,7.26,Business Analyst,Python,No,2,Yes,Medium
B.Sc,Business Analytics,6.69,Business Analyst,Python,No,1,No,Low
MCA,Finance,6.83,Business Analyst,Java,No,0,No,Low
M.Tech,CSE,9.5,Software Developer,Java,Yes,5,Yes,High
MCA,Finance,6.56,Business Analyst,C++,No,1,Yes,Low
BBA,CSE,6.39,DevOps Engineer,Python,No,1,Yes,Low
MBA,Electronics,9.0,Cloud Engineer,C++,Yes,4,Yes,High
M.Tech,Software Engineering,8.06,Software Developer,Java,Yes,2,Yes,Medium
BCA,Electronics,7.71,Support Engineer,Java,Yes,3,Yes,Medium
BCA,Cyber Security,7.43,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Tech,Machine Learning,6.65,Data Scientist,Python,No,0,Yes,Low
BBA,Cyber Security,7.81,Cyber Security Analyst,Python,Yes,2,Yes,Medium
M.Tech,AI,8.53,AI Engineer,Python,Yes,5,Yes,High
B.Sc,Information Security,6.07,Support Engineer,Python,No,0,Yes,Low
M.Tech,Software Engineering,9.16,Software Developer,Java,Yes,4,No,High
BCA,AI,6.06,Data Scientist,Python,No,0,Yes,Low
BCA,IT,7.79,Support Engineer,Python,Yes,2,Yes,Medium
B.Sc,AI,6.95,Data Scientist,Python,No,0,Yes,Low
B.Tech,CSE,7.36,DevOps Engineer,Python,No,3,Yes,Medium
B.Tech,Machine Learning,9.02,AI Engineer,Python,Yes,3,Yes,High
BBA,Cyber Security,8.01,Cyber Security Analyst,Python,Yes,3,Yes,Medium
M.Tech,Business Analytics,7.25,Business Analyst,Python,No,2,Yes,Medium
B.Tech,Data Science,7.74,Business Analyst,Python,Yes,2,Yes,Medium
BBA,CSE,7.58,DevOps Engineer,Java,Yes,3,No,Medium
MBA,AI,9.28,AI Engineer,Python,Yes,5,Yes,High
MCA,Software Engineering,6.78,DevOps Engineer,Java,No,1,No,Low
BBA,IT,8.08,Cloud Engineer,Python,Yes,2,No,Medium
BBA,Business Analytics,9.59,Business Analyst,Python,Yes,3,No,High
BBA,Business Analytics,8.77,Business Analyst,Python,Yes,3,Yes,High
M.Sc,Information Security,6.63,Support Engineer,Python,No,1,Yes,Low
BCA,IT,7.18,Support Engineer,Python,No,2,No,Medium
BCA,Finance,9.72,Business Analyst,Python,Yes,4,No,High
BBA,Electronics,6.68,Support Engineer,Python,No,0,Yes,Low
B.Tech,AI,7.21,Data Scientist,Python,No,3,Yes,Medium
B.Sc,AI,7.83,AI Engineer,Python,Yes,2,Yes,Medium
M.Sc,AI,8.36,AI Engineer,Python,Yes,3,Yes,Medium
M.Sc,CSE,6.43,DevOps Engineer,C++,No,1,No,Low
MCA,Cyber Security,7.82,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BBA,AI,7.98,AI Engineer,Python,Yes,3,Yes,Medium
MCA,Machine Learning,9.06,AI Engineer,Python,Yes,3,Yes,High
B.Sc,Machine Learning,8.38,AI Engineer,Python,Yes,3,Yes,Medium
MCA,Data Science,9.88,Data Scientist,Python,Yes,4,Yes,High
BBA,Information Security,6.5,Support Engineer,Python,No,1,No,Low
M.Sc,Electronics,9.66,Cloud Engineer,C++,Yes,3,Yes,High
MBA,Machine Learning,8.58,AI Engineer,Python,Yes,3,Yes,High
B.Tech,CSE,6.54,DevOps Engineer,Python,No,0,Yes,Low
M.Sc,Business Analytics,7.71,Business Analyst,C++,Yes,3,Yes,Medium
M.Tech,Business Analytics,8.49,Business Analyst,Python,Yes,2,Yes,Medium
MBA,Cyber Security,9.58,Cyber Security Analyst,Python,Yes,5,Yes,High
BCA,Data Science,9.14,Data Scientist,Python,Yes,4,Yes,High
MBA,Machine Learning,6.21,Data Scientist,Python,No,0,Yes,Low
MCA,Cyber Security,6.83,Support Engineer,Python,No,0,Yes,Low
M.Tech,Finance,8.09,Business Analyst,Python,Yes,2,Yes,Medium
MCA,Information Security,9.88,Cyber Security Analyst,Python,Yes,4,No,High
M.Sc,Finance,7.13,Business Analyst,Python,No,2,No,Medium
B.Sc,CSE,9.43,Software Developer,Java,Yes,4,No,High
M.Tech,Business Analytics,6.54,Business Analyst,C++,No,0,No,Low
B.Tech,Finance,8.04,Business Analyst,Python,Yes,2,No,Medium
M.Tech,IT,6.53,Support Engineer,Python,No,1,No,Low
BCA,Software Engineering,6.1,DevOps Engineer,Java,No,0,No,Low
M.Tech,Information Security,6.5,Support Engineer,Python,No,1,Yes,Low
BCA,Software Engineering,6.16,DevOps Engineer,Java,No,0,No,Low
M.Sc,Electronics,9.79,Cloud Engineer,Java,Yes,3,No,High
BCA,IT,9.0,Cloud Engineer,Java,Yes,5,No,High
B.Sc,AI,9.29,AI Engineer,Python,Yes,3,Yes,High
MBA,Data Science,7.35,Business Analyst,Python,No,2,Yes,Medium
B.Sc,Software Engineering,8.86,Software Developer,Java,Yes,3,Yes,High
M.Tech,Finance,8.49,Business Analyst,C++,Yes,2,Yes,Medium
MCA,Machine Learning,7.35,Data Scientist,Python,No,3,Yes,Medium
BCA,Machine Learning,7.37,Data Scientist,Python,No,3,Yes,Medium
B.Sc,Business Analytics,7.55,Business Analyst,C++,Yes,3,No,Medium
MBA,Business Analytics,8.49,Business Analyst,Java,Yes,2,No,Medium
MBA,Electronics,8.58,Support Engineer,Java,Yes,5,Yes,High
M.Tech,Business Analytics,7.66,Business Analyst,Java,Yes,3,No,Medium
MBA,Machine Learning,6.36,Data Scientist,Python,No,1,Yes,Low
MBA,Cyber Security,7.46,Cyber Security Analyst,Python,No,3,Yes,Medium
BBA,Machine Learning,9.37,AI Engineer,Python,Yes,4,Yes,High
BCA,Machine Learning,8.8,AI Engineer,Python,Yes,4,Yes,High
MCA,Business Analytics,9.24,Business Analyst,Java,Yes,4,No,High
BCA,Electronics,7.29,Support Engineer,Java,No,3,No,Medium
MBA,AI,8.76,AI Engineer,Python,Yes,5,Yes,High
BBA,Cyber Security,6.25,Support Engineer,Python,No,1,Yes,Low
M.Sc,Finance,7.27,Business Analyst,Python,No,2,Yes,Medium
B.Tech,Finance,7.38,Business Analyst,Python,No,2,No,Medium
M.Sc,AI,7.0,Data Scientist,Python,No,3,Yes,Medium
M.Tech,CSE,9.39,Software Developer,Python,Yes,5,Yes,High
MBA,CSE,9.56,Software Developer,C++,Yes,3,Yes,High
M.Tech,CSE,8.56,Software Developer,Python,Yes,5,Yes,High
MCA,Business Analytics,9.47,Business Analyst,Java,Yes,5,Yes,High
B.Tech,Software Engineering,6.49,DevOps Engineer,Java,No,0,No,Low
M.Sc,CSE,8.61,Software Developer,Java,Yes,5,Yes,High
M.Tech,Business Analytics,8.92,Business Analyst,Python,Yes,4,Yes,High
MCA,Business Analytics,6.75,Business Analyst,Java,No,0,No,Low
MBA,CSE,8.26,DevOps Engineer,Java,Yes,2,Yes,Medium
MCA,Cyber Security,9.0,Cyber Security Analyst,Python,Yes,4,Yes,High
MBA,IT,6.63,Support Engineer,Java,No,1,Yes,Low
M.Tech,IT,8.83,Cloud Engineer,C++,Yes,4,Yes,High
MCA,CSE,8.39,DevOps Engineer,Python,Yes,3,No,Medium
BBA,Cyber Security,8.63,Cyber Security Analyst,Python,Yes,3,Yes,High
BCA,Machine Learning,6.56,Data Scientist,Python,No,1,Yes,Low
MCA,Information Security,8.67,Cyber Security Analyst,Python,Yes,4,Yes,High
M.Tech,Electronics,7.2,Support Engineer,Python,No,2,Yes,Medium
M.Tech,Data Science,9.71,Data Scientist,Python,Yes,3,Yes,High
BCA,Data Science,6.29,Business Analyst,Python,No,0,Yes,Low
BCA,Data Science,8.9,Data Scientist,Python,Yes,4,Yes,High
B.Sc,CSE,9.29,Software Developer,C++,Yes,5,No,High
M.Tech,Finance,9.21,Business Analyst,Java,Yes,3,Yes,High
MCA,Finance,8.47,Business Analyst,Java,Yes,2,No,Medium
MBA,Business Analytics,9.92,Business Analyst,Java,Yes,5,Yes,High
B.Sc,Electronics,6.58,Support Engineer,Java,No,1,No,Low
M.Tech,Software Engineering,6.63,DevOps Engineer,Java,No,0,No,Low
M.Sc,Machine Learning,7.73,Data Scientist,Python,Yes,3,Yes,Medium
B.Tech,Software Engineering,8.32,Software Developer,Java,Yes,2,Yes,Medium
BCA,AI,9.5,AI Engineer,Python,Yes,5,Yes,High
MBA,Machine Learning,9.73,AI Engineer,Python,Yes,3,Yes,High
M.Sc,Business Analytics,7.27,Business Analyst,C++,No,3,Yes,Medium
MBA,Machine Learning,9.03,AI Engineer,Python,Yes,4,Yes,High
BCA,Machine Learning,9.31,AI Engineer,Python,Yes,3,Yes,High
BBA,Software Engineering,7.8,Software Developer,Java,Yes,2,No,Medium
MBA,Software Engineering,6.04,DevOps Engineer,Java,No,1,Yes,Low
BCA,Data Science,6.01,Business Analyst,Python,No,0,Yes,Low
M.Tech,Business Analytics,9.04,Business Analyst,C++,Yes,5,No,High
B.Tech,AI,8.4,AI Engineer,Python,Yes,2,Yes,Medium
BBA,Information Security,7.52,Cyber Security Analyst,Python,Yes,2,No,Medium
MBA,Business Analytics,9.22,Business Analyst,Python,Yes,5,Yes,High
MCA,Cyber Security,7.43,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Tech,IT,8.52,Cloud Engineer,C++,Yes,4,Yes,High
BCA,Information Security,8.21,Cyber Security Analyst,Python,Yes,2,No,Medium
B.Sc,Machine Learning,6.19,Data Scientist,Python,No,1,Yes,Low
B.Sc,Business Analytics,9.49,Business Analyst,Python,Yes,3,Yes,High
M.Sc,Cyber Security,8.09,Cyber Security Analyst,Python,Yes,3,Yes,Medium
MBA,Data Science,7.69,Business Analyst,Python,Yes,3,Yes,Medium
MCA,Information Security,9.41,Cyber Security Analyst,Python,Yes,5,Yes,High
B.Sc,Software Engineering,9.02,Software Developer,Java,Yes,3,Yes,High
BBA,IT,9.54,Cloud Engineer,C++,Yes,5,No,High
B.Tech,Electronics,7.46,Support Engineer,Python,No,3,Yes,Medium
MBA,Cyber Security,7.03,Cyber Security Analyst,Python,No,3,Yes,Medium
BBA,Cyber Security,7.64,Cyber Security Analyst,Python,Yes,3,Yes,Medium
MBA,Finance,7.38,Business Analyst,Java,No,3,Yes,Medium
BBA,Electronics,8.88,Support Engineer,Python,Yes,4,No,High
B.Tech,CSE,8.78,Software Developer,Java,Yes,4,Yes,High
M.Sc,Business Analytics,8.96,Business Analyst,Java,Yes,3,Yes,High
B.Sc,Business Analytics,9.47,Business Analyst,C++,Yes,5,Yes,High
BBA,Cyber Security,8.33,Cyber Security Analyst,Python,Yes,2,Yes,Medium
B.Sc,IT,6.06,Support Engineer,Python,No,1,Yes,Low
BBA,Software Engineering,8.0,Software Developer,Java,Yes,2,No,Medium
M.Sc,Business Analytics,7.83,Business Analyst,Python,Yes,2,Yes,Medium
BBA,Cyber Security,6.75,Support Engineer,Python,No,1,Yes,Low
M.Tech,AI,6.57,Data Scientist,Python,No,1,Yes,Low
B.Sc,Electronics,7.55,Support Engineer,C++,Yes,3,No,Medium
MBA,Machine Learning,8.68,AI Engineer,Python,Yes,5,Yes,High
M.Sc,IT,9.87,Cloud Engineer,Python,Yes,4,Yes,High
BBA,Information Security,8.23,Cyber Security Analyst,Python,Yes,3,No,Medium
M.Sc,Finance,8.88,Business Analyst,Python,Yes,4,Yes,High
MBA,Machine Learning,8.66,AI Engineer,Python,Yes,4,Yes,High
M.Tech,Data Science,6.58,Business Analyst,Python,No,1,Yes,Low
MCA,Electronics,9.08,Cloud Engineer,C++,Yes,5,Yes,High
B.Tech,AI,9.94,AI Engineer,Python,Yes,4,Yes,High
MCA,Data Science,8.62,Data Scientist,Python,Yes,5,Yes,High
BBA,Data Science,9.81,Data Scientist,Python,Yes,4,Yes,High
M.Sc,Finance,8.35,Business Analyst,C++,Yes,2,Yes,Medium
MBA,IT,6.85,Support Engineer,Python,No,0,No,Low
MBA,Finance,6.29,Business Analyst,Python,No,0,No,Low
M.Sc,IT,8.29,Cloud Engineer,Java,Yes,3,No,Medium
MCA,CSE,7.36,DevOps Engineer,Java,No,2,Yes,Medium
B.Sc,CSE,9.89,Software Developer,Java,Yes,5,No,High
BCA,Business Analytics,8.37,Business Analyst,Python,Yes,3,Yes,Medium
MCA,Information Security,6.69,Support Engineer,Python,No,0,Yes,Low
B.Tech,Finance,6.44,Business Analyst,C++,No,0,Yes,Low
BBA,Business Analytics,8.5,Business Analyst,Python,Yes,4,No,High
B.Tech,Business Analytics,7.3,Business Analyst,Java,No,2,Yes,Medium
BBA,Information Security,8.2,Cyber Security Analyst,Python,Yes,3,Yes,Medium
MBA,Business Analytics,9.06,Business Analyst,Python,Yes,5,Yes,High
BCA,Information Security,6.48,Support Engineer,Python,No,0,No,Low
MBA,Business Analytics,9.66,Business Analyst,C++,Yes,5,No,High
BCA,Machine Learning,8.8,AI Engineer,Python,Yes,5,Yes,High
B.Tech,CSE,6.26,DevOps Engineer,C++,No,0,Yes,Low
BCA,Information Security,8.55,Cyber Security Analyst,Python,Yes,4,Yes,High
B.Sc,IT,8.27,Cloud Engineer,Java,Yes,2,Yes,Medium
M.Sc,Finance,6.84,Business Analyst,Java,No,1,No,Low
M.Sc,Cyber Security,8.25,Cyber Security Analyst,Python,Yes,2,Yes,Medium
MCA,Software Engineering,6.42,DevOps Engineer,Java,No,1,Yes,Low
M.Tech,Data Science,8.5,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Electronics,9.04,Cloud Engineer,Java,Yes,3,No,High
BCA,Software Engineering,9.97,Software Developer,Java,Yes,4,Yes,High
B.Tech,AI,8.46,AI Engineer,Python,Yes,3,Yes,Medium
B.Sc,Software Engineering,6.56,DevOps Engineer,Java,No,1,Yes,Low
B.Sc,Business Analytics,7.07,Business Analyst,C++,No,3,Yes,Medium
M.Tech,Machine Learning,7.7,Data Scientist,Python,Yes,3,Yes,Medium
M.Sc,Finance,8.52,Business Analyst,Java,Yes,5,Yes,High
BBA,Data Science,7.9,Business Analyst,Python,Yes,2,Yes,Medium
MBA,Machine Learning,8.64,AI Engineer,Python,Yes,5,Yes,High
BBA,Information Security,9.67,Cyber Security Analyst,Python,Yes,3,Yes,High
B.Tech,Data Science,7.79,Business Analyst,Python,Yes,2,Yes,Medium
B.Sc,Software Engineering,6.56,DevOps Engineer,Java,No,1,No,Low
B.Sc,Electronics,8.12,Support Engineer,C++,Yes,2,Yes,Medium
BBA,Information Security,6.38,Support Engineer,Python,No,0,No,Low
BCA,Cyber Security,6.6,Support Engineer,Python,No,1,Yes,Low
B.Tech,Finance,7.67,Business Analyst,Python,Yes,2,Yes,Medium
BCA,Business Analytics,7.99,Business Analyst,C++,Yes,3,No,Medium
BCA,Business Analytics,7.3,Business Analyst,Java,No,2,Yes,Medium
B.Sc,Software Engineering,7.12,DevOps Engineer,Java,No,3,Yes,Medium
MBA,Information Security,9.0,Cyber Security Analyst,Python,Yes,5,No,High
M.Tech,CSE,7.61,DevOps Engineer,C++,Yes,3,Yes,Medium
M.Sc,Machine Learning,8.96,AI Engineer,Python,Yes,4,Yes,High
M.Sc,IT,7.7,Support Engineer,Python,Yes,2,Yes,Medium
B.Sc,Cyber Security,6.69,Support Engineer,Python,No,0,Yes,Low
BCA,Machine Learning,8.26,AI Engineer,Python,Yes,2,Yes,Medium
MBA,Data Science,6.77,Business Analyst,Python,No,1,Yes,Low
M.Tech,AI,9.19,AI Engineer,Python,Yes,4,Yes,High
MCA,Software Engineering,7.5,Software Developer,Java,Yes,3,No,Medium
BCA,CSE,9.74,Software Developer,C++,Yes,4,Yes,High
B.Sc,IT,8.84,Cloud Engineer,Python,Yes,4,Yes,High
B.Sc,Information Security,9.75,Cyber Security Analyst,Python,Yes,3,Yes,High
B.Tech,Business Analytics,8.49,Business Analyst,Java,Yes,3,No,Medium
M.Tech,Electronics,6.3,Support Engineer,Java,No,1,No,Low
B.Sc,AI,8.33,AI Engineer,Python,Yes,3,Yes,Medium
M.Tech,Cyber Security,6.24,Support Engineer,Python,No,0,Yes,Low
B.Tech,IT,8.82,Cloud Engineer,C++,Yes,3,No,High
M.Tech,Machine Learning,9.44,AI Engineer,Python,Yes,5,Yes,High
MBA,Finance,6.16,Business Analyst,Java,No,0,Yes,Low
BBA,Electronics,6.24,Support Engineer,C++,No,0,Yes,Low
B.Sc,IT,7.2,Support Engineer,Python,No,3,No,Medium
MBA,Data Science,9.81,Data Scientist,Python,Yes,5,Yes,High
MBA,Data Science,8.36,Data Scientist,Python,Yes,2,Yes,Medium
MBA,Electronics,7.33,Support Engineer,C++,No,2,Yes,Medium
MCA,AI,6.67,Data Scientist,Python,No,1,Yes,Low
M.Sc,Electronics,6.79,Support Engineer,C++,No,1,Yes,Low
MBA,Finance,6.18,Business Analyst,Java,No,1,No,Low
B.Sc,Information Security,8.41,Cyber Security Analyst,Python,Yes,3,Yes,Medium
BBA,AI,7.75,Data Scientist,Python,Yes,2,Yes,Medium
BBA,Cyber Security,9.05,Cyber Security Analyst,Python,Yes,4,Yes,High
M.Tech,Software Engineering,9.78,Software Developer,Java,Yes,3,No,High
BBA,Data Science,6.65,Business Analyst,Python,No,1,Yes,Low
M.Tech,Information Security,9.99,Cyber Security Analyst,Python,Yes,4,No,High
BCA,CSE,6.52,DevOps Engineer,Java,No,1,No,Low
B.Sc,Machine Learning,8.63,AI Engineer,Python,Yes,5,Yes,High
BBA,Machine Learning,7.1,Data Scientist,Python,No,3,Yes,Medium
BCA,Cyber Security,7.65,Cyber Security Analyst,Python,Yes,3,Yes,Medium
M.Sc,CSE,7.61,DevOps Engineer,C++,Yes,3,Yes,Medium
B.Tech,IT,8.9,Cloud Engineer,Python,Yes,5,Yes,High
B.Tech,Electronics,8.79,Support Engineer,Java,Yes,4,No,High
MBA,Machine Learning,8.8,AI Engineer,Python,Yes,5,Yes,High
BBA,AI,6.2,Data Scientist,Python,No,1,Yes,Low
BCA,Cyber Security,9.03,Cyber Security Analyst,Python,Yes,4,Yes,High
BBA,Electronics,6.36,Support Engineer,C++,No,1,Yes,Low
BBA,IT,7.89,Support Engineer,Java,Yes,2,Yes,Medium
BCA,Data Science,7.21,Business Analyst,Python,No,2,Yes,Medium
B.Sc,IT,8.86,Cloud Engineer,C++,Yes,4,Yes,High
B.Sc,Cyber Security,7.94,Cyber Security Analyst,Python,Yes,3,Yes,Medium
MCA,Electronics,9.09,Cloud Engineer,C++,Yes,4,Yes,High
B.Tech,Business Analytics,6.51,Business Analyst,C++,No,0,No,Low
